Country/Area  Year  Unit  Agriculture, hunting, forestry, fishing (ISIC A-B)  Mining, Manufacturing, Utilities (ISIC C-E)  Manufacturing (ISIC D)  Construction (ISIC F)  Wholesale, retail trade, restaurants and hotels (ISIC G-H)  Transport, storage and communication (ISIC I)  Other Activities (ISIC J-P)  Total Value Added
Cuba  2022  US$  2833424714  14887435607  13014705292  13788152577  29127790977  9341137807  85196273782  155174215464
Curaçao  2022  US$  8185344.134078212  227219002.7932961  77123343.575419  116864783.24022347  396798744.6927374  243003423.46368715  1616737464.8044693  2608808763.1284914
Cyprus  2022  US$  464920368.01411295  2137203492.2304497  1529894031.6374836  1400124356.4216015  4619442887.526791  3911072926.2187004  13173935594.261925  25706699624.67358
Czechia  2022  US$  5524425225.8423605  71203450785.63171  60988825619.72856  14828745129.939632  37717429464.4004  33831570835.29563  100409941345.207  263515562786.31674
Côte d'Ivoire  2022  US$  11509440739.28759  11900404483.065458  9083821596.130667  3712678898.3290744  9390478507.844551  7278989159.375824  20711614104.8932  64503605892.79409
Democratic People's Republic of Korea  2022  US$  3507539282.759483  4953400288.671567  3182176554.5167766  1642989583.1448398  32687136.533574358  147846432.92456675  4891671888.532417  15176134612.575663
Democratic Republic of the Congo  2022  US$  10933344309.856808  29774550093.34231  10489690100.34698  602864667.9060482  7085534898.197644  5052088374.114241  7580715740.837667  61029098084.25472
Denmark  2022  US$  4693520806.980844  60018662862.60755  46654256496.32177  18639390245.27966  65161521888.40902  45392696732.27706  158619736801.89655  352525529337.4507
Djibouti  2022  US$  51435204.123316884  285969791.1501736  111443249.48092797  152369500.1603637  1176823750.569713  903900791.13892  1096055938.257156  3666554975.3940163
Dominica  2022  US$  101288888.88888888  44325925.925925925  17477777.777777776  29666666.666666664  71874074.07407407  71285185.18518518  201159259.25925925  519599999.99999994
Dominican Republic  2022  US$  6571533912.420566  20240418027.02435  16934422976.318727  17306014800.489464  19205322809.694347  10496023533.067272  32115973047.37142  105935286130.06741
Eastern Africa  2022  US$  127002950843.21875  73256778595.68922  43350660227.924995  51047379838.98933  62559856898.14725  44855525007.502205  120881929461.7417  479946865833.1665
Eastern Asia  2022  US$  1460995092678.619  7673649762523.027  6616547977979.114  1603226120691.152  2947214865954.5166  2082586957394.4834  9074050656994.377  24841723456236.184
Eastern Europe  2022  US$  157661682826.3056  995162807017.2283  623719431880.857  263126113304.7669  592288011203.3153  372049635749.11444  1354027302377.3892  3734315723109.227
Ecuador  2022  US$  10172241000  26209385000  18809020000  10022288000  14592816000  9367456000  37858917000  108223103000
Egypt  2022  US$  44801723130.30244  104198845683.47781  65368489058.49925  29691297117.47235  60267206302.61745  31046744964.847584  119187873448.43803  389193690647.2078
El Salvador  2022  US$  1540243327  6355583425  5040194569  1820334003  4595820818  2282336197  12484347820  29078665591
Equatorial Guinea  2022  US$  302234978.8301632  5803461918.533676  2698579272.6607747  408505597.70497686  997349840.7098644  796609484.9332905  3464450275.375686  11772612096.08926
Eritrea  2022  US$  420148798.07628524  379258161.9900498  146673902.02321726  382589008.22553897  277152997.0812604  298981237.47927034  674720216.583748  2432850419.4361525
Estonia  2022  US$  944247904.1842842  6844246168.618528  4996763466.679615  2229325238.980136  4655303065.199899  4461805332.301014  14304845713.60682  33439773422.89068
Ethiopia  2022  US$  44779890475.599785  6394710378.90442  5045246272.498936  20638105500.920776  17999252105.50116  4864395596.98187  20626693009.017754  115303047066.92577
Europe  2022  US$  443961123928.69885  4488494671061.58  3280190300594.248  1238609756231.063  3086414455750.9097  2165605537645.229  10059010626737.645  21482246935289.715
Fiji  2022  US$  629639327.5806979  619646606.0483688  498250636.2966665  135542396.1891991  702037539.2445025  445019697.7677115  1582785845.4351704  4114671412.2656503
Finland  2022  US$  6475864343.431142  55110047242.20672  44654859956.98547  17110878326.074717  24360733601.101395  25733095239.32446  116918901867.92372  245709520620.06216
France  2022  US$  53109869590.17586  329163830877.6147  264872105885.7332  137704133882.8501  333670014494.30884  264797440999.66895  1364616470816.5425  2483059657424.9336
French Polynesia  2022  US$  146875014.54918385  423316059.04558456  280915049.58159626  189091772.16757154  822488194.5159955  614761935.7350384  2989931816.6008215  5186464792.605383
Gabon  2022  US$  1208959153.4984035  10106135408.862534  1506669954.1941383  657464724.6382381  878383132.4781532  2233392118.735746  4326505858.0391865  19411000714.398582
Gambia  2022  US$  482216261.0573092  121155080.2782636  61758948.51738051  250905435.15776736  760789715.3165723  142689159.16801062  302454964.18715  2060210615.1468658
Georgia  2022  US$  1497950694.0539057  3581134232.2200127  2381409772.6493382  1719962801.2481997  4088359406.762225  2407658323.1602774  8241659171.867499  21536724628.626297
Germany  2022  US$  37514372965.77121  885298399209.3936  751719763186.1213  211483557495.4584  440345104317.84106  367275522931.89984  1748871419810.3196  3690788376730.6836
Ghana  2022  US$  14432685174.798124  19298437928.170788  8528725566.824622  4301201426.430057  13468875435.182053  6905262409.820609  10626427062.158504  69032889436.68102
Greece  2022  US$  8179770675.940969  32937026351.331062  19792291037.22894  3616658764.286253  38117721788.57303  20638080387.886497  87596078752.58371  191085336720.6015
Greenland  2022  US$  520937241.12043816  180356877.2687572  93681018.4237337  322445954.14800566  317650323.8874631  308153102.33175486  1166106504.5436623  2815650003.1587615
Grenada  2022  US$  62353781.111111104  79045332.22222222  38917980  101135828.51851851  134053308.88888888  85315420.74074073  560615771.111111  1022519442.2222222
Guatemala  2022  US$  8841516141.770836  16081336180.215033  13399212115.390665  5436491822.421048  22364046656.637512  6187402221.051705  30387840224.567017  89298633246.7922
Guinea  2022  US$  5785336393.707022  5883339748.964  2421859811.821748  222870217.86781496  3722959571.6666307  985311887.4714514  3094199541.697813  19694017361.374733
Guinea-Bissau  2022  US$  502345432.2301872  190009762.74014902  173513349.03312567  27420613.60330722  416561313.3381923  104577397.79872113  313048909.3520397  1553963429.0609934
Guyana  2022  US$  1476230215.8273382  9379616306.954437  274796163.0695444  602489208.6330935  505122302.1582734  357381294.9640288  1973702637.8896883  14294541966.426859
Haiti  2022  US$  3801887742.5118427  4644771742.323041  4336929489.169244  857064401.5548124  4115106767.721358  799255367.2524788  4117645520.1685376  18335731541.53207
Honduras  2022  US$  3987703321.5239363  6541424732.153171  5079283728.075683  1785846014.0635493  5673209848.943853  1806441562.5654757  10404189063.51305  30198814542.763035
Hungary  2022  US$  5741419545.30714  34079726244.92583  30514240855.260975  9555906645.94121  17759841651.476704  15933074041.354027  67727297898.75094  150797266027.75586
Iceland  2022  US$  1133222243.1565344  4142679146.7832603  2908616979.8968816  1798730117.3349292  3230532189.4418716  2666436400.850736  12032252440.450434  25003852538.017765
India  2022  US$  579814075022.6007  631165721347.9241  462590746792.1168  257942642330.24863  286092280185.4271  279798544500.1653  1112954862389.625  3147768125775.9907
Indonesia  2022  US$  163563932038.23157  417672552648.8761  241872729215.31354  128821381558.19252  201258282595.78613  120966684771.2041  229038279744.04578  1261321113356.3362
Iran, Islamic Republic of  2022  US$  47826867620.75334  101366439127.14377  78282241624.83357  10176351540.591139  43944669465.44685  31137745310.912315  105084921517.84798  339536994582.69556
Iraq  2022  US$  7532957034.4827585  159729209103.44827  4725923862.068966  6042621310.344828  16052371448.275862  23035998413.793102  52817341034.48276  265210498344.82758
Ireland  2022  US$  5896738248.282144  209613044356.83206  202290522270.15695  11262724834.64001  35935368368.2295  98649771351.55101  145520075188.41736  506877617186.14075
Israel  2022  US$  6109480894.692996  64598931323.133865  56821044674.08979  29243862019.920925  54966694961.4958  80693724813.28554  239561778167.47052  475174174526.7929
Italy  2022  US$  39353232399.17876  369248989483.84576  283554311997.1205  93164215785.679  282066062042.7808  161986837419.92377  856802808347.5035  1802622250640.723
Jamaica  2022  US$  1384814013.205493  2179267303.587998  1454076093.4083102  1226960370.1896887  3586063500.32876  1006493198.2962643  5380301464.053137  14763899849.66134
Japan  2022  US$  42574784524.144936  986578241155.1533  856362648767.3673  235016699637.4021  625651356758.0154  405747712921.4434  1917007213276.0222  4212576008272.1816
Jordan  2022  US$  2215492957.746479  10277464788.732395  8260563380.281691  1328169014.0845072  4374647887.323944  3705633802.8169017  20953521126.760563  42854929577.46479
Kazakhstan  2022  US$  11832119565.807917  67023481794.573685  30271295513.565784  11853774841.632893  39331428943.96575  18472788456.314583  60905887453.413445  209419481055.70828
Kenya  2022  US$  24006118569.686577  11933651577.65049  8876939377.776503  8092012008.38334  10091529917.207159  16729686235.763113  35625621250.36695  106478619559.05763
Kingdom of Eswatini  2022  US$  357671635.1866099  1303002201.6564212  1193420351.7476227  115119339.3710146  645200296.5548946  248682827.27365232  1405858530.8280554  4075534830.870648
Kiribati  2022  US$  56250686.833333656  13434375.02364567  9901386.492003663  9683409.973233437  13240974.958695656  20335631.372256275  116937351.78919818  229882431.33764824
Kosovo  2022  US$  691571413.5617486  1790620658.919481  1238224592.9814823  800584250.4517711  1542238976.6728098  603339602.214198  2127963975.4845278  7556318877.304537
Kuwait  2022  US$  743422077.3956981  88255107104.79863  12192022260.686712  4404155447.902719  9271857741.258945  12996848832.835247  84321194593.66699  199992585794.59293
Kyrgyzstan  2022  US$  1324841945.9959126  1818027430.7016423  1355443653.031027  809629794.5737925  2080195646.6072268  667443190.9137264  2943734186.265293  9643872195.057594
Lao People's Democratic Republic  2022  US$  2738751631.288331  2394018617.2834077  1396058.676434443  1440803233.3804893  1909552341.896474  462764167.77797836  3310740967.534922  12256630959.161602
Latin America and the Caribbean  2022  US$  359332975494.93774  1367749195169.4788  922803294081.9879  312741447779.1143  996785473411.9291  431785752389.55164  2080448700734.5505  5548843538582.752
Latvia  2022  US$  2052804828.9069014  7019511998.282261  5307122262.450176  1800194590.2255213  5559206692.074765  4743244629.948101  14902441377.684637  36077404117.122185
Lebanon  2022  US$  1768434572.6897962  4193778364.1832805  3254732450.1565137  1098376478.5967095  6601109668.475056  2103252271.5177803  23280284318.774544  39045235674.23695
Lesotho  2022  US$  139543297.582295  627573593.4371992  352089692.87095845  59050900.76254895  181446933.0391366  96114399.80737008  872963292.4708534  1976692417.038263
Liberia  2022  US$  2200047946  201548059  127574430  53838750  145205291  159462762  214740107  2974842916
Libya  2022  US$  1599575608.2004082  17794676776.556015  1162811293.792559  1370578696.390636  3046093313.24957  1478417512.7644434  18444593770.432198  43733935677.17774
Liechtenstein  2022  US$  13352988.08953403  2914203377.0320973  2802960658.544823  313096995.5463393  533952823.13913697  281960843.39399844  3417584576.352397  7474151602.506199
Lithuania  2022  US$  2816928427.7427096  13778165917.018326  11547304263.974249  4465054832.271979  11160765200.437775  10211431671.056213  22035005478.031185  64467351526.55819
Luxembourg  2022  US$  196767213.61400738  4214372209.592793  3120756675.027933  4262168252.855045  7432285778.898238  8534839015.810422  49570194529.894295  74210627000.6648
Madagascar  2022  US$  3349458777.6695104  2221579688.835732  1550244251.068287  1133358196.601537  1837651100.8016264  1218368449.395345  4120363958.8083644  14229579604.300491
Malawi  2022  US$  3465907134.043416  1738006355.9242733  1350058352.6740363  385344398.1225883  1528100371.771073  1243187168.9869406  3412130561.7838316  11772675990.633188
Malaysia  2022  US$  36274535470.587036  145470777999.35483  95306912918.77795  13798215535.0388  79708228730.59233  37287696717.98503  89485836893.41595  402025291346.974
Maldives  2022  US$  303814659.7450708  257518891.5697887  123530480.79094668  375931542.4272704  1902292261.0384018  473685134.9142518  2149984237.2840047  5463226726.978788
Mali  2022  US$  6769177453.949089  3106167059.259706  2936894691.6912947  740226383.6482527  2005559823.0898373  998052240.9745176  3911107700.9949007  17530290661.917908
Malta  2022  US$  169941487.15467235  1384034599.2838137  1279293435.171157  729086838.1456333  2209554818.444815  2390433133.9807286  9682142809.927927  16717888637.029535
Marshall Islands  2022  US$  53982616  21406517  10164955  14100416  38910808  27785462  127513574  283699392
Mauritania  2022  US$  2059628103.2064228  2944605229.414897  550562432.9305438  457112240.6612172  1310259763.859982  564560934.6811846  2802146690.2127476  10138312962.063633
Mauritius  2022  US$  437319747.3449778  1782617773.5554185  1559340715.9237962  586767128.139869  2017686756.8865921  1075305930.8746452  5392712431.484895  11292409768.286396
Melanesia  2022  US$  6921307508.669214  12838042699.211164  2111253232.3703916  3069885216.199341  5518685977.318397  2462403103.529163  15080676429.638317  45891000934.32022
Mexico  2022  US$  57145125314.55954  399895053993.6951  316015096075.73773  88551119993.44176  324559970984.7546  128057588753.61137  394661213175.1075  1392870072215.17
Micronesia  2022  US$  218336685.24569687  108466843.06470521  53390450.80989788  52374889.804005384  192952983.23290068  112160681.49502403  612001655.9913374  1296293740.5273123
Micronesia (Federated States of)  2022  US$  95940635  12622642  2101794  8107072  57211517  25285998  202844033  402011898
Middle Africa  2022  US$  42756506688.31863  111949879564.08188  33315111689.42167  12759962873.40925  45053068360.5262  17495739657.764553  50106712364.05491  280122029827.2685
Monaco  2022  US$  ...  297502764.3320347  297502764.3320347  783140009.1836913  2207556744.0290112  634441207.923353  4849431768.966931  8772072494.435022
Mongolia  2022  US$  2233817198.651562  5486824384.334871  1220342614.0463703  567975012.0228142  1977773221.6290371  1138563726.3426619  3909657613.4203706  15314611156.401318
Montenegro  2022  US$  376528710.71329814  565605441.0626885  243416993.1324558  242107728.5810476  1375578538.0325098  537488327.5598761  1918795029.457061  5016103775.406481
Montserrat  2022  US$  433333.3333333333  6670370.37037037  3070370.3703703703  3114814.814814815  6040740.740740741  8462962.962962963  39829629.62962963  64551851.85185185
Morocco  2022  US$  13525302166.676771  26193671831.750828  19658860273.071945  7159082014.365805  18977113237.51412  6866679756.152681  45473816558.002144  118195665564.46234
Mozambique  2022  US$  4919464781.62906  3960058658.4826636  1565661861.4374657  234442548.9147885  1798338569.608855  1664566978.5254705  4003244394.111277  16580115931.272114
Myanmar  2022  US$  14614483984.073841  21099980191.32283  16666604877.28242  3964600186.5955334  13474980864.254223  7882236257.208289  4258330000.4409547  65294611483.89463
Namibia  2022  US$  1082218971.1637495  3339824975.352875  1408442817.5837128  187898512.71435404  1620405015.0022733  559244516.1596036  4820368782.43933  11609960772.893326
Nauru  2022  US$  3534365.412363214  48931372.04105954  28577972.317894213  4434187.830771945  32833687.27420501  28352410.12276775  28098493.20213925  146184515.18966404
Nepal  2022  US$  8299344535.0794525  2782199719.738429  1914731110.0348215  1958355534.1840644  6071580543.433272  2755070272.767289  11776925935.313782  33643476540.51629
Netherlands  2022  US$  15170642906.517967  153852781634.9983  115032298972.1596  42806115313.310265  143140999530.0633  89623102111.81805  459590767414.485  904184408911.1929
New Caledonia  2022  US$  189278249.44449005  1093411368.86853  910516293.7718598  927053552.616352  1003456861.5669765  692310272.0533273  4922345093.697442  8827855398.238306
New Zealand  2022  US$  14097525476.006834  31335629681.39411  22864573896.29196  17073714242.901411  28027400052.83687  14789055206.222094  120523570447.10532  225846895105.8326
Nicaragua  2022  US$  2630366948.3216105  3405802837.026649  2174453562.506259  667077538.8764324  2401315080.544227  733366847.4506142  4116612195.624758  13954541447.816416
Niger  2022  US$  5743148951.936051  2482488840.9190283  1148943935.419526  683540485.2993392  2081841860.601227  731563460.5095721  2829431465.6331162  14552015064.898335
Nigeria  2022  US$  112550254839.5366  102310591569.11339  64577142720.15526  43891368559.371056  66593680849.35683  59728420594.99713  82873563209.59563  467947879621.97064
Northern Africa  2022  US$  96342280526.90244  211655775455.61243  104898173897.62871  63649228642.57335  121229711437.42319  66124726020.403  256533741999.4296  815558116729.4912
Northern America  2022  US$  311493540696.54114  3966879051317.5576  2859638365200.6494  1243532986697.119  4232846490439.7456  3000776974947.868  14989093144231.928  27744621691018.703
Northern Europe  2022  US$  65259921894.54667  1055588716759.5242  684623448188.0743  289000553481.5812  622354326755.0304  577030992246.7251  2476806762402.8022  5086041168379.631
Norway  2022  US$  8978105226.66204  256461333102.19287  27599063881.424973  25664730865.909676  37834688393.86321  32564548842.85342  173922614197.79834  535426020629.27954
Oceania  2022  US$  63924655417.79023  412674037091.58105  121127269371.24709  138726385071.85565  220659562865.2018  134355211586.03148  978871904240.7087  1949211756272.851
Oman  2022  US$  2516852668.4005203  47017043136.54096  9750301929.778933  9995594595.578674  11858194738.621586  7035703760.728218  40818479089.72691  119241867986.9961
Pakistan  2022  US$  72714331949.09624  55761613992.991684  43226224920.96039  9018519947.171715  66171008322.89856  26969494815.31575  75307410857.31738  305942379884.7913
Palau  2022  US$  8628382  12071937  2644343  16049804  50755996  10401180  136608204  234515504
Panama  2022  US$  2004467029  8210049149  3801920691  11815410451  16434320647  10583093487  25131156990  74178497753
Papua New Guinea  2022  US$  5352108505.801556  10876299044.537645  515038692.8209905  1876002051.4205112  3332325840.8902297  1145484380.6508505  7853607558.418811  30435827381.719604
Paraguay  2022  US$  4578840385.370491  11019010856.46851  8094047161.93411  2985743143.0878553  5295186975.187222  2760953895.6883974  12099781360.478199  38739516616.28053
Peru  2022  US$  19006141529.624176  63198836330.581924  28408825907.879364  19355277559.753227  35386331633.23665  15486360147.464312  69343786907.16994  221776734107.83023
Philippines  2022  US$  38606525767.309074  88536928056.55446  69696373497.96523  29620167264.488598  80447327899.78696  27574493920.98992  139498884402.56586  404284327311.7132
Poland  2022  US$  19543006481.20974  153282647668.57794  120307553684.49397  40030658159.65053  107827514202.76642  72446278118.11249  219933860628.75415  613063965259.0713
Polynesia  2022  US$  344761946.6481877  530987721.9710851  362876285.63466  272657374.1787955  1201857947.975008  728061953.0524331  3632405548.776302  6710732491.4697895
Portugal  2022  US$  4726930878.152121  37868208079.38857  31211455634.063354  9639376656.102934  42340894115.212105  19956647343.77575  106773802965.39131  221305860038.0228
Puerto Rico  2022  US$  750100000  51194300000  48796400000  1248700000  12524800000  3950400000  43134900000  112803200000
Qatar  2022  US$  604734942.8571428  128173425053.57143  21886528183.791206  27311435501.0989  16953619693.406593  13211008746.428572  60617353664.28571  246871577601.37363
Republic of Korea  2022  US$  27479803011.60965  444299338726.0787  429057671758.2855  86772456728.11348  148067051420.37057  134741685035.38634  688632463851.906  1529992798773.4646
Republic of Moldova  2022  US$  1142657185.2439609  1711586639.2685034  1298710982.6249049  1179167779.7228625  2500143769.8152695  1380210555.893992  4489504546.59339  12403270476.485062
Republic of North Macedonia  2022  US$  1015342545.3643203  2259786033.0886908  1689997989.997619  788381885.0700821  2270400395.992161  995017222.7766764  4525527491.288497  11854455573.563354
Romania  2022  US$  13445352699.971739  67727779288.57464  57745002372.839775  19104335631.521976  38435098832.776115  37598579495.46494  97195527330.31529  273506843909.80008
Russian Federation  2022  US$  87408237861.048  571621151365.1332  287712822680.11945  163092488896.17453  332722115303.2496  167406637334.70355  709167307247.7316  2031417938008.026
Rwanda  2022  US$  3314541871.452412  1819843633.667137  1319022665.6819408  1007465435.598127  1573315482.7596953  977377354.1881636  3638716684.0629845  12331260461.72852
Saint Kitts and Nevis  2022  US$  12600000  44896296.29629629  31218518.518518515  155662962.96296296  133081481.48148148  110174074.07407406  411318518.5185185  867733333.3333333
Saint Lucia  2022  US$  32926708.148148146  127962666.29629628  61985428.14814814  81091997.4074074  541051380.3703704  185596425.55555555  831429014.8148148  1800058192.5925925
Saint Vincent and the Grenadines  2022  US$  44272781.111111104  73369727.77777778  35402702.22222222  66197080.370370366  124719542.22222221  88222669.62962963  395399568.1481481  792181368.8888888
